price day ahead;price actual
35.1;45.32
27.28;37.72
24.1;34.11
22.1;32.83
22.1;32.45
23.13;33.47
32.02;42.98
42;51.4
46.1;59.54
50.1;63.24
51.48;67.12
47.05;62.73
46.03;61.92
44.92;57.57
41.1;53.8
40;52.91
42.9;55.69
43.4;56.59
43.82;68.7
56;79.19
53.15;75.78
48.82;68.65
46.38;58.94
42.9;55.47
42.01;53.11
28.4;40.36
26;35.67
24.4;34.58
24.13;34.95
25;36.71
28.49;39.88
44.4;53.74
44.4;57.48
45.1;57.68
46.1;61.57
44.4;60.89
44.4;61.05
44.1;56.79
40.57;53.26
40;53.11
40;53.91
40;53.96
40;63.51
48.03;70.46
50.1;72.42
48.82;68.14
47.5;60.2
45;57.45
34.8;44.8
30.1;40.81
27.4;37.87
27.32;37.19
27.27;36.6
27.22;36.56
28.22;38.7
28.59;38.01
30.13;41.43
35.12;45.59
41.79;52.93
41.7;52.83
40.7;52.47
41.7;53.71
35.12;47.34
30.1;43.04
28.58;43.34
31.27;46.55
41.32;60.34
45;60.83
45.9;62.87
44.51;60.42
40.7;50.83
35.12;45.53
52.1;47.6
47.84;40.01
43.66;37.79
43.66;33.06
41.98;29.65
43.93;31.25
46.02;33.55
50.92;31.95
55.57;37.89
58.1;40.43
59.8;36.44
59.51;41.68
59;43.39
58.13;39.68
56.9;39.33
52.69;30.69
52.1;28.13
56.1;33.68
59;39.34
59.8;51.94
59.92;56.16
59.51;53.65
58.1;49.01
56.1;42.7
31.5;34.12
28.71;29.43
23.33;27.86
20.01;27.75
19.99;27.27
20;34.11
26.2;42.74
40.82;53.61
42.59;58.5
55;61.2
57.59;61.88
55.57;60.71
54.69;60.53
51.38;60.32
42.59;58.87
42.55;57.3
43.89;57.92
51.1;59.1
54.69;71.86
66.12;90.02
61.75;96.78
54.7;92.2
51.8;65.96
44.86;61.04
53.1;63.49
49.34;59.33
46.16;55.6
44.4;52.4
41.96;50.28
45.53;54.7
51.1;59.88
55.49;64.81
60.19;73.49
63.5;75.85
61.69;73.66
58.69;70.67
57.19;69.34
57.69;68.57
53.69;64.58
51.8;62.87
51.1;62.75
52.52;67.89
55.49;72.35
67.32;83.8
69.69;85.73
60.53;76.26
53.15;65.45
48.97;59.46
37.1;55.15
35.05;51.51
27.25;48.66
30;44.36
30;36.33
27.17;34.88
34;39.21
35;42.29
36.1;53.33
39.5;53.95
39.1;53.67
39.25;52.27
39;47.92
39.25;51.03
40.12;43.89
36.43;41.31
35.68;41.79
34.5;44.57
35.05;48.15
30;60.11
36.43;63.03
46.46;60.11
40.12;48.34
37.1;40.19
33.1;27.68
30.2;20.42
27;17.38
27;17.91
26.87;16.81
27;17.21
27.23;25.65
27;31.22
29.14;41.38
32.89;43.42
40.07;43.8
40.2;41.88
40.23;42.23
40.23;42.12
40.09;40.86
33.68;41.22
32.4;42.62
40.03;48.32
40.23;55.97
42.46;69.69
55.03;72.97
64.6;69.04
65.01;55.43
60.15;52.7
53.5;49.65
51.04;46.44
46.5;41.37
46.37;39.41
45.65;38.79
47;45.04
53;53.2
56.6;61.94
59.02;67.38
60.1;72.79
60.21;70.29
60.5;66.52
60.5;61.57
60.09;61.64
57;60.3
55.5;56.71
56.23;56.63
57.49;59.13
56.6;73.1
56;81.22
56.69;89.34
59.6;80.93
59.03;64.63
54.98;62.04
60.61;58.1
56.9;54.75
57.88;52.54
59.67;48.41
60;46.14
59.67;45.82
60.1;48.03
62;50.8
63.19;56.56
65.01;59.12
66.1;58.44
65.69;56.53
64.69;56.96
61.6;57.45
55.24;56.71
54.99;55.29
51.7;53.84
60;53.85
58.94;61.57
57.34;74.22
57.8;76.95
62.37;75.9
63.1;63.52
59.67;57.03
61.98;60.68
48.62;57.53
46.85;54.14
46.85;50.17
46.85;48.47
47.1;48.21
60;48.36
63.49;47.5
66.1;50.63
68.82;50.16
70;51.4
69.67;54.79
69.4;54.86
68.69;53.9
63.49;49.51
62.47;44.29
61.98;39.66
62.93;40.8
62.93;49.46
62.93;57.14
63.03;63.13
68.46;62.17
67.6;55.98
61.98;50.79
49.94;50.24
47.55;48.28
45;44.09
44.72;40.06
43.78;39.54
45.13;44.24
49.3;54.7
54.5;60.05
56.03;68.44
59.26;65.91
58.12;62.87
58.18;61.8
59.5;61.81
60.1;61.71
60.09;58.07
59.5;56.67
60.09;56.56
